Customer_ID,First_Name,Last_Name,Gender,City,Join_Date
1,Saad,Shah,M,Sialkot,2025-03-15
2,Maryam,Aslam,M,Faisalabad,2024-08-20
3,Abdullah,Chaudhry,F,Rawalpindi,2025-10-28
4,Ahmed,Ahmed,M,Lahore,2024-02-13
5,Noor,Iqbal,M,Faisalabad,2025-03-25
6,Abdullah,Malik,F,Faisalabad,2024-07-03
7,Ahsan,Khan,M,Lahore,2025-03-10
8,Abdullah,Qureshi,M,Lahore,2024-11-22
9,Laiba,Shah,F,Karachi,2025-06-11
10,Usman,Chaudhry,M,Islamabad,2025-01-19
11,Daniyal,Aslam,M,Islamabad,2024-02-18
12,Mahnoor,Shah,F,Lahore,2025-06-23
13,Iqra,Aslam,F,Sialkot,2024-02-12
14,Daniyal,Shah,M,Lahore,2025-03-19
15,Maryam,Aslam,F,Lahore,2024-01-05
16,Bilal,Shah,M,Lahore,2025-01-25
17,Umar,Shah,F,Gujranwala,2025-08-27
18,Usman,Shah,F,Gujranwala,2024-01-03
19,Hassan,Qureshi,F,Faisalabad,2025-10-13
20,Fatima,Rana,F,Faisalabad,2024-06-02
21,Hassan,Shah,M,Islamabad,2024-12-02
22,Ayesha,Butt,M,Karachi,2025-04-13
23,Maryam,Javed,M,Lahore,2024-01-04
24,Abdullah,Chaudhry,M,Rawalpindi,2024-05-08
25,Bilal,Butt,F,Lahore,2024-01-04
26,Hassan,Rana,F,Karachi,2024-07-04
27,Hamza,Chaudhry,F,Faisalabad,2024-06-09
28,Huzaifa,Butt,M,Lahore,2024-04-08
29,Hira,Shah,F,Rawalpindi,2024-05-27
30,Bilal,Chaudhry,F,Rawalpindi,2024-04-01
31,Saad,Aslam,M,Sialkot,2025-11-15
32,Maryam,Sheikh,F,Gujranwala,2025-12-18
33,Anaya,Rana,F,Karachi,2024-09-27
34,Amna,Shah,M,Gujranwala,2024-01-21
35,Mahnoor,Qureshi,M,Faisalabad,2024-04-07
36,Umar,Malik,M,Islamabad,2025-08-15
37,Fatima,Iqbal,M,Rawalpindi,2025-08-23
38,Hamza,Chaudhry,M,Lahore,2025-06-11
39,Huzaifa,Iqbal,F,Karachi,2024-06-10
40,Ahsan,Chaudhry,F,Gujranwala,2024-05-14
41,Noor,Qureshi,F,Karachi,2025-01-06
42,Hassan,Malik,M,Islamabad,2024-03-23
43,Zainab,Javed,F,Gujranwala,2024-03-09
44,Bilal,Ahmed,F,Lahore,2025-07-10
